f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
499,560,0.0,0.0,0.0,7.03125e-05
751,499,0.0,0.0,0.0,3.515625e-05
505,751,0.0,0.0,0.0,3.125e-05
653,577,0.0,0.0,0.0,3.125e-05
96,653,0.0,0.0,0.0,3.125e-05
107,96,0.0,0.0,0.0,3.125e-05
217,107,0.0,0.0,0.0,3.125e-05
589,437,0.0,0.0,0.0,1.5625e-05
595,427,0.0,0.0,0.0,1.5625e-05
198,393,0.0,0.0,0.0,1.5625e-05
323,1124,0.0,0.0,0.0,3.125e-05
758,323,0.0,0.0,0.0,1.5625e-05
1130,758,0.0,0.0,0.0,1.5625e-05
514,1130,0.0,0.0,0.0,1.5625e-05
339,514,0.0,0.0,0.0,1.5625e-05
736,339,0.0,0.0,0.0,1.953125e-05
156,736,0.0,0.0,0.0,1.171875e-05
968,1045,0.0,0.0,0.0,1.5625e-05
801,968,0.0,0.0,0.0,1.5625e-05
515,801,0.0,0.0,0.0,6.25e-05
62,515,0.0,0.0,0.0,1.5625e-05
409,62,0.0,0.0,0.0,1.5625e-05
1089,1016,0.0,0.0,0.0,1.5625e-05
111,1089,0.0,0.0,0.0,1.5625e-05
788,1017,0.0,0.0,0.0,3.125e-05
882,788,0.0,0.0,0.0,1.5625e-05
812,882,0.0,0.0,0.0,1.5625e-05
402,812,0.0,0.0,0.0,1.5625e-05
251,402,0.0,0.0,0.0,1.5625e-05
991,251,0.0,0.0,0.0,1.5625e-05
939,991,0.0,0.0,0.0,1.5625e-05
512,781,0.0,0.0,0.0,1.5625e-05
887,512,0.0,0.0,0.0,1.5625e-05
887,234,0.0,0.0,0.0,6.25e-05
234,1109,0.0,0.0,0.0,3.125e-05
1109,782,0.0,0.0,0.0,3.125e-05
1063,153,0.0,0.0,0.0,1.5625e-05
958,1063,0.0,0.0,0.0,1.5625e-05
121,969,0.0,0.0,0.0,1.5625e-05
1041,121,0.0,0.0,0.0,1.5625e-05
972,1041,0.0,0.0,0.0,6.25e-05
391,881,0.0,0.0,0.0,1.171875e-05
857,391,0.0,0.0,0.0,6.25e-05
206,385,0.0,0.0,0.0,1.5625e-05
1005,869,0.0,0.0,0.0,3.125e-05
397,1005,0.0,0.0,0.0,3.125e-05
287,397,0.0,0.0,0.0,1.5625e-05
1010,287,0.0,0.0,0.0,1.5625e-05
101,1010,0.0,0.0,0.0,1.5625e-05
137,101,0.0,0.0,0.0,1.5625e-05
1116,137,0.0,0.0,0.0,1.5625e-05
459,1116,0.0,0.0,0.0,1.5625e-05
839,873,0.0,0.0,0.0,1.953125e-05
531,839,0.0,0.0,0.0,1.171875e-05
270,529,0.0,0.0,0.0,1.5625e-05
505,683,0.0,0.0,0.0,1.5625e-05
224,135,0.0,0.0,0.0,2.27771558e-05
217,295,0.0,0.0,0.0,1.5625e-05
852,217,0.0,0.0,0.0,1.5625e-05
717,852,0.0,0.0,0.0,1.5625e-05
380,181,0.0,0.0,0.0,1.5625e-05
120,380,0.0,0.0,0.0,1.5625e-05
262,120,0.0,0.0,0.0,7.03125e-05
707,262,0.0,0.0,0.0,3.515625e-05
489,707,0.0,0.0,0.0,3.125e-05
115,870,0.0,0.0,0.0,3.125e-05
